2 2
0.265934 1.736894 -0.000938
0.245456 1.774059 -0.021473
0.250896 1.756591 -0.045934
0.238767 1.790327 -0.022991
0.249939 1.752974 -0.060566
0.255685 1.737520 -0.064603
0.277568 1.685143 -0.093651
0.265040 1.707999 -0.124955
0.270511 1.710953 -0.053041
0.278438 1.684294 -0.073938
0.263644 1.722327 -0.037547
0.252208 1.758226 -0.027439
0.260885 1.728334 -0.057635
0.255661 1.765330 -0.043250
0.260559 1.736569 -0.035434
0.259691 1.726552 -0.062373
0.249115 1.769321 -0.022743
0.251158 1.758516 -0.034618
0.254017 1.742633 -0.062023
0.268793 1.703900 -0.080790
0.251038 1.751627 -0.054642
0.245955 1.770397 -0.051454
0.260675 1.728436 -0.054834
0.261066 1.728318 -0.039907
0.250204 1.755566 -0.055209
0.262962 1.734037 -0.024463
0.258601 1.742789 -0.013629
0.241924 1.783713 -0.029949
0.252417 1.747519 -0.053269
0.250452 1.764153 -0.019249
0.237748 1.797495 -0.023035
0.240857 1.792049 -0.036232
0.270752 1.700355 -0.067547
0.246244 1.767555 -0.039707
0.255537 1.744698 -0.049807
0.243302 1.780494 -0.021419
0.259760 1.735219 -0.022930
0.252024 1.746111 -0.064086
0.241541 1.784453 -0.034965
0.259681 1.737185 -0.035661
0.243723 1.776820 -0.043178
0.245211 1.771276 -0.059084
0.241351 1.778612 -0.041615
0.243459 1.774087 -0.034712
0.238113 1.791108 -0.051598
0.261930 1.728463 -0.053401
0.254114 1.743185 -0.099871
0.242134 1.776683 -0.053409
0.258995 1.737655 -0.040901
0.270105 1.700580 -0.079888
0.248522 1.765644 -0.043238
0.260984 1.733024 -0.068603
0.256111 1.745273 -0.043082
0.264906 1.724130 -0.032495
0.254865 1.738822 -0.071965
0.249690 1.761499 -0.045711
0.261835 1.722452 -0.075524
0.244215 1.770243 -0.082208
0.253188 1.755094 -0.016032
0.254992 1.747305 -0.038873
0.249523 1.762435 -0.010081
0.256705 1.744136 -0.041252
0.254706 1.745306 -0.070077
0.247890 1.758854 -0.045777
0.257465 1.744101 -0.021783
0.241919 1.784862 -0.012253
0.240531 1.779739 -0.040491
0.259216 1.730689 -0.062847
0.233015 1.808556 -0.020622
0.252678 1.754866 -0.050261
0.263530 1.735076 -0.035628
0.283628 1.684408 -0.028477
0.260166 1.735309 -0.036121
0.241233 1.793885 -0.040395
0.239637 1.785454 -0.041684
0.242449 1.772970 -0.062655
0.246952 1.772564 -0.021459
0.260307 1.737798 -0.032169
0.248993 1.764788 -0.038412
0.248630 1.768655 -0.005093
0.261628 1.720978 -0.071525
0.240653 1.789813 -0.020378
0.258556 1.732778 -0.050923
0.242423 1.777022 -0.046255
0.280346 1.700951 -0.037454
0.242652 1.777931 -0.020414
0.257993 1.733773 -0.052231
0.259544 1.728318 -0.074612
0.265598 1.722245 -0.047030
0.267500 1.722325 -0.046540
0.265937 1.712099 -0.054439
0.278641 1.676391 -0.096433
0.248774 1.759781 -0.040774
0.267554 1.717949 -0.058911
0.252189 1.744107 -0.070391
0.249516 1.763419 -0.051149
0.248894 1.759680 -0.048782
0.235683 1.802216 -0.035229
0.270226 1.707329 -0.052595
0.267532 1.713223 -0.040197
0.261176 1.726847 -0.046273
0.258617 1.736181 -0.048370
0.255065 1.743233 -0.067856
0.247246 1.772544 -0.022058
0.265391 1.719188 -0.040433
0.257820 1.740369 -0.023711
0.260813 1.738850 -0.004701
0.235289 1.798189 -0.022373
0.242889 1.780875 -0.023466
0.249362 1.761784 -0.036139
0.245366 1.771729 -0.026287
0.252330 1.754711 -0.030630
0.260391 1.734671 -0.011700
0.273294 1.700794 -0.041735
0.256579 1.740151 -0.038723
0.260922 1.731444 -0.045099
0.253405 1.748905 -0.053021
0.253868 1.752832 -0.013547
0.247334 1.772634 -0.030413
0.275965 1.695960 -0.030409
0.248934 1.764180 -0.040070
0.243640 1.777420 -0.045515
0.242102 1.782368 -0.020195
0.247931 1.765565 -0.023652
0.259941 1.731874 -0.069511
0.258087 1.737375 -0.033133
0.258917 1.730375 -0.059635
0.252993 1.749847 -0.034294
0.240031 1.790903 -0.021096
0.264492 1.719737 -0.044440
0.256997 1.748788 -0.016434
0.241174 1.791424 -0.008438
0.250877 1.759685 -0.017535
0.240785 1.787919 -0.024438
0.252190 1.754100 -0.043137
0.280243 1.693862 -0.035782
0.247254 1.759983 -0.051425
0.247323 1.765035 -0.029548
0.250725 1.756475 -0.035315
0.249949 1.766165 -0.022915
0.257302 1.736479 -0.062000
0.257760 1.741053 -0.013986
0.263877 1.722454 -0.034646
0.249099 1.763539 -0.031916
0.252691 1.748324 -0.045637
0.237210 1.799653 -0.012961
0.250995 1.761535 -0.014732
0.268753 1.707964 -0.056979
0.250383 1.753565 -0.049083
0.245235 1.771357 -0.035892
0.240629 1.785144 -0.026828
0.252207 1.753222 -0.060531
0.266528 1.721848 -0.050178
0.259364 1.734712 -0.041123
0.265254 1.729788 -0.032453
0.254580 1.747459 -0.029969
0.251816 1.754085 -0.039000
0.279214 1.692989 -0.043346
0.255017 1.746965 -0.026298
0.262264 1.725238 -0.035550
0.251366 1.752185 -0.045366
0.257640 1.740950 -0.047003
0.245317 1.769642 -0.044421
0.253710 1.748795 -0.042911
